Dipto,                Sonata       ,                   25 lakhs      
Himel,                X corolla     ,                     15 lakhs      
Asiful Islam,                  X corolla     ,                       15 lakhs      
Himel,                     Sonata       ,                        25 lakhs      
LEMIH,                      Sonata       ,                         25 lakhs      
Anamul Islam,                       Sonata       ,                          25 lakhs      
Himel,                        Sonata       ,                           25 lakhs      
Emran,                        X corolla     ,                             15 lakhs      
Md Asiful Islam,              Sonata       ,              25 lakhs      
KAAB,             Harrier      ,             70 lakhs      
nazrul,            X corolla     ,              15 lakhs      
Nafi,             Sonata       ,             25 lakhs      
Himel,            X corolla     ,              15 lakhs      
Himel,              Sonata       ,              25 lakhs      
